stop_id,stop_name,stop_lat,stop_long
172,Forte Marghera Hermada,45.484932,12.253404
173,Forte Marghera Millosevic,45.48307,12.255144
174,Forte Marghera Moretti,45.481429999999996,12.256691
175,Forte Marghera Aretusa,45.479122,12.260207000000001
176,Orlanda San Giuliano,45.475421999999995,12.26806
177,Orlanda Appia,45.479884999999996,12.270828999999999
178,Orlanda Cavergnago,45.483376,12.278289
179,Orlanda Sabbadino,45.484367,12.28272
180,Orlanda Bagaron,45.485554,12.28824
181,Orlanda Tiburtina,45.486603,12.293935000000001
182,Orlanda Casilina,45.488857,12.301525
183,Orlanda Don Vecchi,45.490536,12.304314
184,Orlanda Centro Ippico,45.494343,12.31183
185,ORLANDA 200,45.497051,12.316491000000001
186,Orlanda Piovega,45.499294,12.320244
187,Gatta Pisacane,45.535511,12.235906
188,Triestina Tessera,45.503696000000005,12.327225
189,Galilei Darsena,45.503143,12.335894
190,Calabria campi Sportivi,45.489296,12.210111999999999
191,Calabria campi Sportivi,45.489571000000005,12.210626
192,Triestina Zorzi,45.508259,12.335155
193,Triestina Zuliani,45.511897999999995,12.343383
194,Triestina Laguna,45.51247,12.348557000000001
195,TRIESTINA AERONAVALI,45.513531,12.351686
196,Triestina Paliaghetta,45.516899,12.354687
197,Paliaga Ca' Noghera,45.52095,12.358323
198,Triestina Scuole,45.503681,12.324735
199,TRIESTINA FORTE ROSSAROL,45.504055,12.319596
200,Triestina Torre,45.504864000000005,12.310163000000001
201,Triestina Piovega,45.5042,12.30305
202,Triestina Lazzaretto,45.503696000000005,12.294913000000001
204,Triestina Prabello,45.505157000000004,12.289067999999999
206,Gobbi Vallenari,45.501698,12.284450999999999
207,Gobbi Don Bosco,45.497875,12.286176
208,Gobbi Ca' Dolfin,45.496063,12.287719000000001
209,Gobbi Mandarini,45.494068,12.291313
210,Gobbi Mirtilli,45.492268,12.293742
211,Gobbi Orlanda,45.487289000000004,12.295307000000001
212,Passo Campalto Orlanda,45.486137,12.295641
214,Sabbadino Passo Campalto,45.483051,12.296244
215,Sabbadino Bagaron,45.482067,12.291792999999998
216,Sabbadino  Laguna,45.482071000000005,12.287382000000001
218,Zendrini Villaggio Laguna,45.479931,12.289821
219,Cortivo Zendrini,45.479431,12.289759
220,Cortivo Tombelle,45.480263,12.284877999999999
221,Altinia Berizzi,45.537552000000005,12.299825
222,Dese FS,45.537459999999996,12.302055000000001
223,Dese Cicogne,45.531971,12.303214
224,Dese centro,45.528664,12.304158000000001
225,Dese Litomarino,45.526203,12.303631
226,ALTINIA 181,45.526127,12.297716000000001
227,Altinia Forte Cosenz,45.522236,12.288418
228,Altinia Ca' Badoera,45.516411,12.284142
229,Altinia Ca' Rezzonico,45.514206,12.283265
230,Altinia Ca' Solaro,45.511696,12.283088000000001
231,Altinia Indri,45.509968,12.282542
232,Altinia San Pietro,45.507866,12.282355
233,Altinia Favaro Municipio,45.505424,12.282474
240,Stazione Padova,45.416622,11.883815
241,San Dona' Falzarego,45.504238,12.254389
242,Garibaldi  Carpenedo,45.504993,12.250504
