validation_datetime,serial,stop,title,title_description
2023-01-13 15:27:00,-3613076220,5032,23303,Abb stud. ReteUnica 12 mesi 
2023-01-13 15:37:00,-3613047566,5006,23102,Annuale ordinario Rete Unica
2023-01-13 15:38:00,-2854792789,508,11209,Bigl RETE UNICA 75'
2023-01-13 15:48:00,40834180822941188,510,12101,Bigl.Aut.75'Mestre/Lido-tsc
2023-01-13 15:58:00,-3613078999,5060,23102,Annuale ordinario Rete Unica
2023-01-13 16:00:00,-2818079326,5001,11209,Bigl RETE UNICA 75'
2023-01-13 16:04:00,-2850037922,5132,11209,Bigl RETE UNICA 75'
2023-01-13 16:12:00,-4089911721,5039,9000,Tessera di servizio ACTV
2023-01-13 16:29:00,-3604986512,6057,11209,Bigl RETE UNICA 75'
2023-01-13 16:32:00,-2824213357,1180,23101,Mensile ordinario Rete Unica
2023-01-13 16:48:00,-2824270147,5099,113,Linea 17-categoria D
2023-01-13 16:50:00,-2821771365,2289,24101,Mensile Ordinario extra
2023-01-13 16:55:00,-2824258845,5013,10101,MOBILITY ordinario Rete Unica
2023-01-13 17:00:00,-3613120442,5001,23101,Mensile ordinario Rete Unica
2023-01-13 17:07:00,40835096459294724,509,12101,Bigl.Aut.75'Mestre/Lido-tsc
2023-01-13 17:40:00,-2821834982,5005,23102,Annuale ordinario Rete Unica
2023-01-13 17:58:00,-2854828578,5049,11400,Traghetto Carta Venezia
2023-01-13 18:00:00,-3604943996,5039,11209,Bigl RETE UNICA 75'
2023-01-13 18:02:00,-2821816120,5026,11209,Bigl RETE UNICA 75'
2023-01-13 18:24:00,-2824277084,5072,23101,Mensile ordinario Rete Unica
2023-01-13 18:24:00,-2818100739,82,11209,Bigl RETE UNICA 75'
2023-01-13 19:00:00,65693840325308677,5040,11261,"DailyP-Tpl19,90-C.Ve5,10"
2023-01-13 19:08:00,-2824281973,5039,23102,Annuale ordinario Rete Unica
2023-01-13 19:48:00,36423077214251012,646,12101,Bigl.Aut.75'Mestre/Lido-tsc
2023-01-13 20:00:00,-2818091788,5103,102,Linea 11-categoria C
2023-01-13 20:12:00,-2818103284,5024,11209,Bigl RETE UNICA 75'
2023-01-13 20:35:00,-3613052005,334,23301,Mens.Studente Rete Unica
2023-01-13 21:00:00,-3613133995,5039,23301,Mens.Studente Rete Unica
2023-01-13 21:03:00,40834866812216836,5047,11107,"48h-Tpl 29,90-ComVe5,10"
2023-01-13 21:10:00,42242242495185412,5024,11304,48ore online no aerobus
2023-01-13 21:17:00,-2821793897,5013,23101,Mensile ordinario Rete Unica
2023-01-13 22:00:00,40551645791309572,510,11228,"48hAerCS-Tpl36,90-CVe5,10"
2023-01-13 23:00:00,40552757653044996,5043,11101,"75'-Tpl 8,64-ComVe0,86"
2023-01-13 23:01:00,40553391836791556,5031,11101,"75'-Tpl 8,64-ComVe0,86"
2023-01-14 00:00:00,-2854801019,5049,23101,Mensile ordinario Rete Unica
2023-01-14 01:00:00,-2818082724,5013,11400,Traghetto Carta Venezia
2023-01-14 02:02:00,-3604990133,5039,23102,Annuale ordinario Rete Unica
2023-01-14 03:00:00,-3613052033,510,23303,Abb stud. ReteUnica 12 mesi 
2023-01-14 04:00:00,41679291737079556,5039,11101,"75'-Tpl 8,64-ComVe0,86"
2023-01-14 04:09:00,-2818092258,5031,20013,Annuale ORDINARIO ISOLE
2023-01-14 05:01:00,-3619109226,5036,23101,Mensile ordinario Rete Unica
2023-01-14 06:00:00,-2824288506,5043,23102,Annuale ordinario Rete Unica
2023-01-14 06:49:00,-2854978039,5108,24000,Atvo+Actv mens.Stud.F1
2023-01-14 07:00:00,40834233027811076,5075,11261,"DailyP-Tpl19,90-C.Ve5,10"
2023-01-14 08:00:00,37214417943030788,5128,11099,Bordo 75min CartaVenezia
2023-01-14 08:59:00,41679521379877636,5040,11107,"48h-Tpl 29,90-ComVe5,10"
2023-01-14 09:00:00,40833118894195460,1313,14122,Extra tratta 2 
2023-01-14 09:02:00,-2854828689,5032,11209,Bigl RETE UNICA 75'
2023-01-14 09:03:00,36427556727031812,612,12101,Bigl.Aut.75'Mestre/Lido-tsc
2023-01-14 09:04:00,40553621071565060,5051,11107,"48h-Tpl 29,90-ComVe5,10"
2023-01-14 09:10:00,-3604982583,5043,23101,Mensile ordinario Rete Unica
2023-01-14 09:17:00,-2854798057,129,23406,Abb. over75 GRATUITO
2023-01-14 09:17:00,41679520838958852,5028,11261,"DailyP-Tpl19,90-C.Ve5,10"
2023-01-14 09:25:00,-3619203993,5084,11209,Bigl RETE UNICA 75'
2023-01-14 09:31:00,-2818081329,5001,11209,Bigl RETE UNICA 75'
2023-01-14 09:55:00,41678649902613252,5032,11101,"75'-Tpl 8,64-ComVe0,86"
2023-01-14 10:00:00,-2821750290,5041,23102,Annuale ordinario Rete Unica
2023-01-14 10:18:00,-3613132000,334,11209,Bigl RETE UNICA 75'
2023-01-14 10:28:00,65693841480384261,5060,11261,"DailyP-Tpl19,90-C.Ve5,10"
2023-01-14 10:36:00,-2821752653,5005,11209,Bigl RETE UNICA 75'
2023-01-14 10:36:00,-2821772539,723,11209,Bigl RETE UNICA 75'
2023-01-14 10:45:00,40553391833007364,164,12101,Bigl.Aut.75'Mestre/Lido-tsc
2023-01-14 11:00:00,40553621482395652,5055,11107,"48h-Tpl 29,90-ComVe5,10"
2023-01-14 11:03:00,-2821802911,5069,11209,Bigl RETE UNICA 75'
2023-01-14 11:16:00,-2854968300,6052,11209,Bigl RETE UNICA 75'
2023-01-14 11:24:00,-3613118745,5135,11209,Bigl RETE UNICA 75'
2023-01-14 11:38:00,65693771838159365,1196,12101,Bigl.Aut.75'Mestre/Lido-tsc
2023-01-14 12:00:00,-3619134084,5001,23101,Mensile ordinario Rete Unica
2023-01-14 12:00:00,-2821801636,5081,11209,Bigl RETE UNICA 75'
2023-01-14 12:06:00,-2821803165,5069,11209,Bigl RETE UNICA 75'
2023-01-14 12:23:00,40834867620536580,5113,11261,"DailyP-Tpl19,90-C.Ve5,10"
2023-01-14 12:26:00,-3619229878,5021,11209,Bigl RETE UNICA 75'
2023-01-14 12:41:00,-3613076330,5031,23303,Abb stud. ReteUnica 12 mesi 
2023-01-14 12:46:00,40553620936184580,5013,11107,"48h-Tpl 29,90-ComVe5,10"
2023-01-14 12:55:00,-2824286623,5094,23102,Annuale ordinario Rete Unica
2023-01-14 13:00:00,-2821815492,5151,11209,Bigl RETE UNICA 75'
2023-01-14 13:01:00,-4089912296,5028,9000,Tessera di servizio ACTV
2023-01-14 13:10:00,-2821758750,5028,11209,Bigl RETE UNICA 75'
2023-01-14 13:12:00,40552758051126532,5075,11101,"75'-Tpl 8,64-ComVe0,86"
2023-01-14 13:16:00,-2818072142,5043,11209,Bigl RETE UNICA 75'
2023-01-14 13:31:00,-3613109231,5076,11209,Bigl RETE UNICA 75'
2023-01-14 13:51:00,-3604950049,5042,23301,Mens.Studente Rete Unica
2023-01-14 13:51:00,40553620945875460,5096,11261,"DailyP-Tpl19,90-C.Ve5,10"
2023-01-14 13:57:00,-2821801065,5083,11209,Bigl RETE UNICA 75'
2023-01-14 14:00:00,41679291733912580,5132,11305,72ore online no aerobus
2023-01-14 14:03:00,-3613083537,5060,11209,Bigl RETE UNICA 75'
2023-01-14 14:15:00,-3619142039,5096,11209,Bigl RETE UNICA 75'
2023-01-14 14:20:00,-3613075044,5039,11209,Bigl RETE UNICA 75'
2023-01-14 14:21:00,40553620945833476,5119,11261,"DailyP-Tpl19,90-C.Ve5,10"
2023-01-14 14:48:00,-3604913477,5042,11209,Bigl RETE UNICA 75'
2023-01-14 14:50:00,-2824278898,508,11209,Bigl RETE UNICA 75'
2023-01-14 14:53:00,41679521378594052,5031,11261,"DailyP-Tpl19,90-C.Ve5,10"
2023-01-14 15:00:00,40551645787292676,5133,11229,"72hAerCS-Tpl45,40-CVe6,60"
2023-01-14 15:12:00,-2821766912,5003,20014,Annuale STUDENTE ISOLE
2023-01-14 15:26:00,40553620945904900,5064,11261,"DailyP-Tpl19,90-C.Ve5,10"
2023-01-14 15:29:00,36141602100655108,5078,11177,"Ev8-Tpl 52,00-C.Ve3,00"
2023-01-14 15:34:00,-3604992574,1405,23101,Mensile ordinario Rete Unica
2023-01-14 15:37:00,-3604948256,5024,11209,Bigl RETE UNICA 75'
2023-01-14 15:39:00,40553621483419140,5132,11108,"72h-Tpl 38,40-ComVe6,60"
2023-01-14 15:46:00,65694179904747013,5096,11261,"DailyP-Tpl19,90-C.Ve5,10"
2023-01-14 15:51:00,-3604969911,173,23101,Mensile ordinario Rete Unica
2023-01-14 15:57:00,37267502129174788,392,12101,Bigl.Aut.75'Mestre/Lido-tsc
